MB51	35124912364457984 1297209406
MB52	33199275462627328 1296750298
MB53	35123660406657024 1297209107
MB54	34836253874593792 1297140584
MB55	34782005925249024 1297127651
MB56	33375478505013248 1296792308
MB57	32919462151720960 1296683586
MB58	35043166813949952 1297189916
MB59	35012866822119424 1297182692
MB60	34436767029399552 1297045339
MB61	34695232985645056 1297106962
MB62	35111217613766657 1297206141
MB63	33986811273420800 1296938061
MB64	35002593419726848 1297180243
MB65	34438945404092416 1297045859
MB66	33684239400566784 1296865923
MB67	34414281218859008 1297039978
MB68	32532358276063232 1296591293
MB69	35073980729802752 1297197263
MB70	34729342210678784 1297115095
MB71	31692185296441344 1296390980
MB72	32187009527193600 1296508955
MB73	33505508052701184 1296823310
MB74	34509105032859648 1297062586
MB75	35094611483426816 1297202182
MB76	34922941233762304 1297161252
MB77	34580405671698432 1297079585
MB78	35066972253192192 1297195592
MB79	33616636950880256 1296849805
MB80	35067092726185984 1297195621
MB81	34846177434275840 1297142950
MB82	33190436147306496 1296748191
MB83	34913594311311361 1297159024
MB84	35060229741744128 1297193984
MB85	34764832553041920 1297123556
MB86	32075949373652992 1296482476
MB87	35114725998215168 1297206977
MB88	34775520600129536 1297126104
MB89	32987948139941888 1296699914
MB90	34921291089711104 1297160859
MB91	31492039682039808 1296343262
MB92	34780760116305920 1297127354
MB93	34936026753404928 1297164372
MB94	34971360627261440 1297172796
MB95	35092866069962752 1297201765
MB96	31146959217631232 1296260988
MB97	35100296694861824 1297203537
MB98	34856175732264960 1297145334
MB99	35105993557807104 1297204895
MB100	34737748464115712 1297117099
MB101	35017330933108736 1297183756
MB102	35051942250020864 1297192008
MB103	34763068797886464 1297123136
MB104	34637550534529026 1297093210
MB105	34803471081275392 1297132768
MB106	34915635595059201 1297159510
MB107	34941706969288704 1297165726
MB108	33823828090036224 1296899203
MB109	34390055866859520 1297034202
MB110	34838554811043840 1297141133
